,full_name,annual_salary,,
,"Ezequiel Schelotto
DEFENDER","£1,664,000.00",,
,"Fabian Balbuena
DEFENDER","£2,080,000.00",,
,"Fabian Delph
MIDFIELDER","£4,160,000.00",,
,"Fabian Schar
DEFENDER","£2,080,000.00",,
,"Fabinho
MIDFIELDER","£5,200,000.00",,
,"Fabricio Agosto Ramírez
GOALKEEPER","£2,340,000.00",,
,"Federico Fernandez
DEFENDER","£2,236,000.00",,
,"Felipe Anderson
MIDFIELDER","£4,420,000.00",,
,"Fernandinho Luis Roza
MIDFIELDER","£7,800,000.00",,
,"Fernando Llorente
FORWARD","£3,900,000.00",,
,"Florent Hadergjonaj
DEFENDER","£1,196,000.00",,
,"Florian Lejeune
DEFENDER","£1,976,000.00",,
,"Florin Andone
FORWARD","£2,080,000.00",,
,"Floyd Ayité
FORWARD","£416,000.00",,
,"Fousseni Diabaté
FORWARD","£780,000.00",,
,"Fraser Forster
GOALKEEPER","£3,640,000.00",,
,"Freddie Woodman
GOALKEEPER","£156,000.00",,
,"Frederico Santos
MIDFIELDER","£6,240,000.00",,
,"Gabriel Jesus
FORWARD","£4,680,000.00",,
,"Gaetan Bong
DEFENDER","£1,040,000.00",,
,"Gary Cahill
DEFENDER","£5,200,000.00",,
,"Geoff Cameron
DEFENDER","£1,560,000.00",,
,"George Baldock
DEFENDER","£208,000.00",,
,"George Thomas
FORWARD","£156,000.00",,
,"Georginio Wijnaldum
MIDFIELDER","£3,900,000.00",,
,"Gerard Deulofeu
FORWARD","£3,120,000.00",,
,"Giannelli Imbula
MIDFIELDER","£2,600,000.00",,
,"Glenn Murray
FORWARD","£1,560,000.00",,
,"Granit Xhaka
MIDFIELDER","£5,200,000.00",,
,"Grant Hanley
DEFENDER","£1,300,000.00",,
,"Greg Cunningham
DEFENDER","£987,000.00",,
,"Gylfi Sigurdsson
MIDFIELDER","£5,200,000.00",,
,"Hal Robson-Kanu
FORWARD","£1,560,000.00",,
,"Hamza Choudhury
MIDFIELDER","£416,000.00",,
,"Harry Kane
FORWARD","£10,400,000.00",,
,"Harry Maguire
DEFENDER","£4,680,000.00",,
,"Harry Souttar
DEFENDER","£156,000.00",,
,"Harry Winks
MIDFIELDER","£2,600,000.00",,
,"Hector Bellerin
DEFENDER","£5,720,000.00",,
,"Helder Costa
FORWARD","£1,690,000.00",,
,"Henri Lansbury
MIDFIELDER","£2,080,000.00",,
,"Henrikh Mkhitaryan
MIDFIELDER","£7,800,000.00",,
,"Heung-Min Son
FORWARD","£7,280,000.00",,
,"Heurelho Gomes
GOALKEEPER","£1,820,000.00",,
,"Hugo Lloris
GOALKEEPER","£5,200,000.00",,
,"Ibrahim Afellay
MIDFIELDER","£1,300,000.00",,
,"Ibrahima Cissé
MIDFIELDER","£650,000.00",,
,"Idrissa Gueye
MIDFIELDER","£3,640,000.00",,
,"Ilkay Gundogan
MIDFIELDER","£7,280,000.00",,
,"Isaac Hayden
MIDFIELDER","£1,144,000.00",,
,"Isaac Mbenza
FORWARD","£483,600.00",,
,"Isaac Success
FORWARD","£1,560,000.00",,
,"Isaiah Brown
FORWARD","£1,300,000.00",,
,"Issa Diop
DEFENDER","£3,484,000.00",,
,"Ivan Cavaleiro
FORWARD","£1,450,000.00",,
,"Jack Butland
GOALKEEPER","£1,820,000.00",,
,"Jack Cork
MIDFIELDER","£1,976,000.00",,
,"Jack Grealish
MIDFIELDER","£364,000.00",,
,"Jack O'Connell
DEFENDER","£520,000.00",,
,"Jack Stephens
DEFENDER","£2,496,000.00",,
,"Jack Wilshere
MIDFIELDER","£5,200,000.00",,
,"Jacob Murphy
FORWARD","£1,300,000.00",,
,"Jairo Riedewald
DEFENDER","£2,860,000.00",,
,"Jake Flannigan
DEFENDER","£41,600.00",,
,"Jake Hesketh
MIDFIELDER","£936,000.00",,
,"Jake Livermore
MIDFIELDER","£2,392,000.00",,
,"Jamaal Lascelles
DEFENDER","£1,782,857.00",,
,"Jamal Blackman
GOALKEEPER","£416,000.00",,
,"James Bree
DEFENDER","£520,000.00",,
,"James Chester
DEFENDER","£1,560,000.00",,
,"James Maddison
MIDFIELDER","£2,860,000.00",,
,"James McArthur
MIDFIELDER","£2,860,000.00",,
,"James McCarthy
MIDFIELDER","£2,600,000.00",,
,"James Milner
MIDFIELDER","£7,280,000.00",,
,"James Tarkowski
DEFENDER","£2,600,000.00",,
,"James Tomkins
DEFENDER","£2,600,000.00",,
,"James Ward-Prowse
MIDFIELDER","£2,253,333.00",,
,"Jamie Vardy
FORWARD","£7,280,000.00",,
,"Jan Bednarek
DEFENDER","£1,040,000.00",,
,"Jan Vertonghen
DEFENDER","£4,628,000.00",,
,"Jannik Vestergaard
DEFENDER","£3,120,000.00",,
,"Jason Puncheon
MIDFIELDER","£1,820,000.00",,
,"Jason Steele
GOALKEEPER","£833,333.00",,
,"Javier Chicharito Hernandez
FORWARD","£7,280,000.00",,
,"Javier Manquillo
DEFENDER","£1,820,000.00",,
,"Jay Rodriguez
FORWARD","£3,120,000.00",,
,"Jazz Richards
DEFENDER","£675,000.00",,
,"Jean Michael Seri
MIDFIELDER","£3,380,000.00",,
,"Jeff Hendrick
MIDFIELDER","£1,820,000.00",,
,"Jefferson Lerma
MIDFIELDER","£2,600,000.00",,
,"Jeffrey Schlupp
DEFENDER","£2,912,000.00",,
,"Jesse Lingard
FORWARD","£3,900,000.00",,
,"Jo Gorenc-Stankovic
DEFENDER","£780,000.00",,
,"Joe Allen
MIDFIELDER","£2,600,000.00",,
,"Joe Bennett
DEFENDER","£1,015,000.00",,
,"Joe Bryan
DEFENDER","£1,560,000.00",,
,"Joe Gomez
DEFENDER","£1,560,000.00",,
,"Joe Hart
GOALKEEPER","£2,340,000.00",,
,"Joe Ralls
MIDFIELDER","£1,275,000.00",,
,"Joel Matip
DEFENDER","£5,200,000.00",,
,"Joel Ward
DEFENDER","£1,820,000.00",,
,"Johann Berg Gudmundsson
MIDFIELDER","£1,560,000.00",,
,"John Egan
DEFENDER","£390,000.00",,
,"John Fleck
MIDFIELDER","£416,000.00",,
,"John Lundstrom
MIDFIELDER","£208,000.00",,
,"John Ruddy
GOALKEEPER","£1,820,000.00",,
,"John Stones
DEFENDER","£5,200,000.00",,
,"Jonathan Hogg
MIDFIELDER","£1,196,000.00",,
,"Jonathan Kodjia
FORWARD","£1,820,000.00",,
,"Jonathan Leko
MIDFIELDER","£93,600.00",,
,"Jonjo Shelvey
MIDFIELDER","£3,640,000.00",,
,"Jonjoe Kenny
DEFENDER","£780,000.00",,
,"Jonny Castro
DEFENDER","£1,907,000.00",,
,"Jonny Evans
DEFENDER","£4,160,000.00",,
,"Jonny Williams
MIDFIELDER","£780,000.00",,
,"Jordan Henderson
MIDFIELDER","£7,280,000.00",,
,"Jordan Pickford
GOALKEEPER","£5,208,333.00",,
,"Jorge Luiz Frello Filho
MIDFIELDER","£5,400,000.00",,
,"Jose Holebas
DEFENDER","£1,560,000.00",,
,"Jose Izquierdo
FORWARD","£2,340,000.00",,
,"Jose Moutinho
MIDFIELDER","£5,200,000.00",,
,"Rondon
FORWARD","£3,120,000.00",,
,"Joselu Mato
FORWARD","£2,080,000.00",,
,"Josh Knight
DEFENDER","£104,000.00",,
,"Josh Murphy
FORWARD","£1,300,000.00",,
,"Josh Tymon
DEFENDER","£520,000.00",,
,"Joshua King
FORWARD","£2,340,000.00",,
,"Juan Foyth
DEFENDER","£1,118,000.00",,
,"Juan Mata
MIDFIELDER","£8,320,000.00",,
,"Julian Speroni
GOALKEEPER","£1,300,000.00",,
,"Julien Ngoy
FORWARD","£260,000.00",,
,"Juninho Bacuna
MIDFIELDER","£884,000.00",,
,"Junior Hoilett
FORWARD","£1,456,000.00",,
,"Jurgen Locadia
FORWARD","£2,106,000.00",,
,"Kadeem Harris
MIDFIELDER","£625,000.00",,
,"Karl Darlow
GOALKEEPER","£1,300,000.00",,
,"Kasper Schmeichel
GOALKEEPER","£6,760,000.00",,
,"Kean Bryan
DEFENDER","£156,000.00",,
,"Keinan Davis
FORWARD","£260,000.00",,
,"Kelechi Iheanacho
FORWARD","£3,120,000.00",,
,"Kenneth Zohore
FORWARD","£858,000.00",,
,"Kenny McLean
MIDFIELDER","£520,000.00",,
,"Kepa Arrizabalaga
GOALKEEPER","£7,800,000.00",,
,"Kevin De Bruyne
MIDFIELDER","£16,683,333.00",,
,"Kevin Long
DEFENDER","£832,000.00",,
,"Kevin McDonald
MIDFIELDER","£1,144,000.00",,
,"Kevin Wimmer
DEFENDER","£3,640,000.00",,
,"Ki Sung-yueng
MIDFIELDER","£2,080,000.00",,
,"Kieran Dowell
MIDFIELDER","£780,000.00",,
,"Kieran Gibbs
DEFENDER","£2,860,000.00",,
,"Kieran Trippier
DEFENDER","£3,380,000.00",,
,"Kieron Freeman
DEFENDER","£234,000.00",,
,"Kiko Femenia
DEFENDER","£1,040,000.00",,
,"Konstantinos Mavropanos
DEFENDER","£1,191,667.00",,
,"Kortney Hause
DEFENDER","£416,000.00",,
,"Kurt Zouma 
DEFENDER","£4,000,000.00",,
,"Kyle Walker
DEFENDER","£5,200,000.00",,
,"Kyle Walker-Peters
DEFENDER","£1,040,000.00",,
,"Laurent Depoitre
FORWARD","£1,820,000.00",,
,"Laurent Koscielny
DEFENDER","£4,680,000.00",,
,"Lazar Markovic
FORWARD","£1,820,000.00",,
,"Leander Dendoncker
MIDFIELDER","£1,972,000.00",,
,"Lee Grant
GOALKEEPER","£1,560,000.00",,
,"Lee Peltier
DEFENDER","£987,500.00",,
,"Leighton Baines
DEFENDER","£3,640,000.00",,
,"Leo Bonatini
FORWARD","£1,820,000.00",,
,"Leon Balogun
DEFENDER","£950,000.00",,
,"Leon Clarke
FORWARD","£468,000.00",,
,"Leroy Sane
FORWARD","£4,680,000.00",,
,"Lewis Dunk
DEFENDER","£2,340,000.00",,
,"Loic Damour
MIDFIELDER","£468,000.00",,
,"Louis Thompson
MIDFIELDER","£780,000.00",,
,"Lucas Digne
DEFENDER","£4,680,000.00",,
,"Lucas Moura
MIDFIELDER","£4,160,000.00",,
,"Lucas Perez
FORWARD","£4,160,000.00",,
,"Lucas Torreira
MIDFIELDER","£3,900,000.00",,
,"Luciano Vietto
FORWARD","£2,860,000.00",,
,"Luka Milivojevic
MIDFIELDER","£2,860,000.00",,
,"Lukasz Fabianski
GOALKEEPER","£3,380,000.00",,
,"Luke Shaw
DEFENDER","£7,800,000.00",,
,"Maarten Stekelenburg
GOALKEEPER","£1,560,000.00",,
,"Mamadou Sakho
DEFENDER","£5,200,000.00",,
,"Manolo Gabbiadini
FORWARD","£4,160,000.00",,
,"Manuel Lanzini
MIDFIELDER","£3,640,000.00",,
,"Marc Albrighton
MIDFIELDER","£2,340,000.00",,
,"Marc Muniesa
DEFENDER","£1,716,000.00",,
,"Marc Navarro
DEFENDER","£1,196,000.00",,
,"Marco van Ginkel
MIDFIELDER","£1,450,000.00",,
,"Marcos Alonso
DEFENDER","£5,200,000.00",,
,"Marcos Rojo
DEFENDER","£4,160,000.00",,
,"Marcus Bettinelli
GOALKEEPER","£1,820,000.00",,
,"Marcus Rashford
FORWARD","£1,690,000.00",,
,"Mario Lemina
MIDFIELDER","£3,380,000.00",,
,"Mark Duffy
MIDFIELDER","£416,000.00",,
,"Mark Noble
MIDFIELDER","£2,600,000.00",,
,"Marko Arnautovic
MIDFIELDER","£5,200,000.00",,
,"Marouane Fellaini
MIDFIELDER","£7,800,000.00",,
,"Martin Dubravka
GOALKEEPER","£1,976,000.00",,
,"Martin Kelly
DEFENDER","£1,300,000.00",,
,"Martin Montoya
DEFENDER","£2,600,000.00",,
,"Mason Holgate
DEFENDER","£1,300,000.00",,
,"Matej Vydra
FORWARD","£1,820,000.00",,
,"Mateo Kovacic
MIDFIELDER","£3,900,000.00",,
,"Mathew Ryan
GOALKEEPER","£1,820,000.00",,
,"Mathias Jorgensen
DEFENDER","£1,716,000.00",,
,"Matt Doherty
DEFENDER","£520,000.00",,
,"Matt Phillips
MIDFIELDER","£2,080,000.00",,
,"Matt Ritchie
MIDFIELDER","£2,340,000.00",,
,"Matt Targett
DEFENDER","£1,820,000.00",,
,"Matteo Darmian
DEFENDER","£2,340,000.00",,
,"Matteo Guendouzi
MIDFIELDER","£2,080,000.00",,
,"Matthew Connolly
DEFENDER","£987,000.00",,
,"Matthew Lowton
DEFENDER","£1,300,000.00",,
,"Matty James
MIDFIELDER","£1,300,000.00",,
,"Max Meyer
MIDFIELDER","£6,500,000.00",,
,"Maxime le Marchand
DEFENDER","£1,300,000.00",,
,"Maya Yoshida
DEFENDER","£2,600,000.00",,
,"Mesut Ozil
MIDFIELDER","£13,975,000.00",,
,"Michael Keane
DEFENDER","£3,120,000.00",,
,"Michail Antonio
MIDFIELDER","£3,640,000.00",,
,"Michel Vorm
GOALKEEPER","£2,080,000.00",,
,"Miguel Britos
DEFENDER","£1,300,000.00",,
,"Mohamed Diame
MIDFIELDER","£2,340,000.00",,
,"Mohamed Elneny
MIDFIELDER","£2,600,000.00",,
,"Mohamed Elyounoussi
FORWARD","£3,120,000.00",,
,"Mohamed Salah
FORWARD","£10,400,000.00",,
,"Morgan Gibbs-White
MIDFIELDER","£78,000.00",,
,"Morgan Schneiderlin
MIDFIELDER","£5,200,000.00",,
,"Mortiz Leitner
MIDFIELDER","£624,000.00",,
,"Moussa Sissoko
MIDFIELDER","£4,160,000.00",,
,"N'Golo Kante
MIDFIELDER","£7,500,000.00",,
,"Naby Keita
MIDFIELDER","£6,240,000.00",,
,"Nacer Chadli
MIDFIELDER","£3,120,000.00",,
,"Nacho Monreal
DEFENDER","£3,380,000.00",,
,"Nampalys Mendy
MIDFIELDER","£2,600,000.00",,
,"Nathan Ake
DEFENDER","£2,080,000.00",,
,"Nathan Redmond
FORWARD","£3,120,000.00",,
